country,year,temperature_change_from_co2,temperature_change_from_n2o,temperature_change_from_ghg,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2
World,1880,0.046,0.002,0.063,0.0,18609.254,0.0,0.0,89991.125,96.705,0.0
World,1881,0.048,0.003,0.066,0.0,19479.979,0.0,0.0,93368.203,113.946,0.0
World,1882,0.05,0.003,0.069,0.001,20398.762,0.0,0.165,96924.844,132.885,0.0
World,1883,0.052,0.003,0.071,0.001,21379.393,0.0,0.546,100403.75,149.386,0.0
World,1884,0.054,0.003,0.074,0.001,22369.328,0.0,1.718,104036.0,167.708,0.0
World,1885,0.056,0.003,0.077,0.002,23363.799,0.0,5.434,107667.242,186.667,0.0
World,1886,0.058,0.003,0.08,0.002,24366.914,0.0,13.11,111212.586,208.49,0.0
World,1887,0.06,0.003,0.083,0.003,25415.373,0.0,24.897,114904.031,231.972,0.0
World,1888,0.062,0.003,0.086,0.003,26574.818,0.0,41.671,118470.453,256.552,0.0
World,1889,0.064,0.003,0.089,0.004,27735.701,0.0,53.897,122148.141,284.959,0.0
World,1890,0.067,0.004,0.092,0.004,28995.953,0.0,65.585,126098.469,319.609,0.0
World,1891,0.069,0.004,0.096,0.005,30315.09,0.0,74.533,130259.109,360.44,0.0
World,1892,0.072,0.004,0.099,0.006,31646.916,0.0,82.308,134360.938,400.646,0.0
World,1893,0.074,0.004,0.103,0.006,32959.598,0.0,89.596,138649.625,443.192,0.0
World,1894,0.077,0.004,0.106,0.007,34322.73,0.0,96.294,142953.812,484.893,0.0
World,1895,0.079,0.004,0.11,0.008,35762.391,0.0,103.336,147263.297,533.431,0.0
World,1896,0.082,0.004,0.114,0.009,37247.633,0.0,110.184,151507.906,586.002,0.0
World,1897,0.085,0.004,0.117,0.01,38802.305,0.0,117.471,155912.281,641.532,0.0
World,1898,0.087,0.005,0.121,0.011,40442.633,0.0,125.931,160269.203,698.703,0.0
World,1899,0.09,0.005,0.125,0.012,42234.832,0.0,136.836,164716.828,758.734,0.0
World,1900,0.093,0.005,0.129,0.013,44117.473,0.0,148.377,169222.906,826.042,0.0
World,1901,0.096,0.005,0.133,0.015,46053.824,0.0,161.238,173755.672,900.792,0.0
World,1902,0.099,0.005,0.137,0.017,48034.121,0.0,174.934,178382.891,981.599,0.0
World,1903,0.102,0.005,0.141,0.02,50196.07,0.0,189.462,182979.844,1067.164,0.0
World,1904,0.105,0.005,0.146,0.022,52370.496,0.0,204.627,187658.906,1163.244,1.834
World,1905,0.109,0.006,0.15,0.026,54691.387,0.0,221.796,192485.656,1260.264,3.814
World,1906,0.112,0.006,0.155,0.03,57116.824,0.0,240.823,197322.953,1358.153,5.941
World,1907,0.115,0.006,0.159,0.035,59875.789,0.0,260.701,202071.484,1477.576,7.995
World,1908,0.119,0.006,0.164,0.15,62511.059,0.0,280.376,206910.328,1606.368,9.829
World,1909,0.122,0.006,0.169,0.266,65251.867,0.0,303.899,211856.5,1740.74,12.176
World,1910,0.126,0.006,0.174,0.401,68123.688,0.0,328.814,216603.391,1884.847,14.523
World,1911,0.129,0.007,0.179,0.55,71032.812,0.0,354.532,221430.156,2037.676,16.797
World,1912,0.133,0.007,0.184,0.726,74091.273,0.0,382.847,226116.359,2194.856,19.144
