year,population,oil_co2,gas_co2,coal_co2,land_use_change_co2,cumulative_co2,methane,nitrous_oxide,others_co2,co2_including_luc
2024,8153252821.591696,12198.766480734352,7977.167548898564,15964.771930847597,3898.024551767983,1850226.8655691687,10532.069846416307,3038.039422073079,2319.8356251954588,42358.56613744396
2025,8212425305.836436,12465.172425766807,8022.376092953302,16202.467970349448,4227.183674957196,1889951.737770954,10621.24379347241,3061.5718905978715,2357.8425162841054,43275.042680310864
2026,8269458205.766435,12450.381217394055,8068.145339131327,16412.45889472347,4592.889643921295,1929365.9161316778,10759.357089478926,3085.4439836653128,2394.38499279053,43918.26008796068
2027,8323595597.575039,12556.15993950711,8209.28498685121,16849.74750867655,4832.81229165828,1969701.0585888936,10811.801245850882,3116.372286669425,2429.7208100624002,44877.72553675555
2028,8373648409.343956,12754.332490688712,8314.766766423065,17333.144674644616,4951.432635265872,2010944.8490985355,10880.707312967541,3135.3647337054927,2463.7802476637876,45817.456814686055
2029,8421083327.463267,12732.682126022033,8418.484164965936,17421.01347843348,4968.989454418387,2052841.6127706135,10983.303070000207,3164.6970859982107,2496.4953942308134,46037.664618070645
2030,8465900931.932719,12913.035708589681,8522.212562123124,17896.176506522,4968.989454418387,2095028.2148363797,11068.923646242853,3186.4225566756586,2527.8003722524086,46828.214603905595
2031,8508231643.791654,13028.525248366876,8599.979400360442,18391.028718341367,4968.989454418387,2138501.884881945,11164.867670830185,3210.9336242172153,2557.631558454511,47546.154379941574
2032,8548201042.396679,13053.991209584532,8664.584414478033,18627.170821678934,4968.989454418387,2182400.6611963958,11256.43933921874,3239.995136585938,2585.9277987591477,47900.66369891903
2033,8585929834.708654,13252.618756230226,8741.997995686832,18922.913796258395,4968.989454418387,2226953.941061177,11351.564524370086,3259.444863153138,2612.630616804463,48499.15061939829
2034,8621533859.083553,13310.712242270512,8822.524299688424,19569.941134227465,4968.989454418387,2272403.6512364517,11445.98377200089,3289.4570849314996,2637.684415032443,49309.851545637226
2035,8655124118.489044,13400.015715310588,8914.550992144414,19837.082971487293,4968.989454418387,2318652.9219800765,11542.001599883359,3312.111603141793,2661.036667377902,49781.67580073858
2036,8686806838.5959,13573.621942655891,9018.039800848954,20123.407671480752,4968.989454418387,2365395.113436793,11638.386823298168,3335.2509248677143,2682.63810262499,50366.69697202897
2037,8716683546.682144,13615.0553716025,9122.273995646774,20715.507955504367,4968.989454418387,2413138.2666212493,11735.812915430732,3363.243344499564,2702.4428775360875,51124.26965470811
2038,8744851167.740454,13754.025585349276,9222.68901021357,21184.266734176555,4968.989454418387,2461616.3417327097,11833.927458696378,3382.068634102691,2720.408738902078,51850.37952305986
2039,8771402134.593204,13885.482032758544,9319.36281446142,21375.517652787974,4968.989454418387,2510771.920412865,11932.930736758686,3409.379505563918,2736.497173712546,52285.84912813886
2040,8796424509.198898,13944.35167817012,9410.680982936643,21973.313412656935,4968.989454418387,2560779.0871686833,12032.725398417113,3431.0656255469517,2750.6735466990913,53048.00907488118
2041,8820002112.678364,14104.482228117611,9500.711280687288,22535.361572094607,4968.989454418387,2611662.028504463,12133.374506917095,3452.544408569823,2762.907224564305,53872.45175988219
2042,8842214661.901583,14200.741650639056,9593.722111147412,22793.68541817782,4968.989454418387,2663212.0900227115,12234.854804276045,3478.858742214543,2773.1716862728467,54330.310320655524
2043,8863137910.757467,14292.969767550572,9691.047012741008,23265.57444726779,4968.989454418387,2715653.1222355943,12337.189620572339,3497.0500092452958,2781.444618848844,55000.0253008266
2044,8882843794.482655,14447.997180369495,9792.869823295989,23976.08952298727,4968.989454418387,2768952.4733628677,12440.37728074517,3522.4216028241112,2787.7079981953107,55973.65397926645
2045,8901400575.652233,14528.83923155861,9898.008633914555,24286.355764603806,4968.989454418387,2823022.9989429344,12544.429670298006,3543.428264438575,2791.948154525855,56474.141239021206
2046,8918872990.638342,14652.110260150239,10003.880448705479,24698.69890181532,4968.989454418387,2877942.9288044893,12649.351461959604,3563.4409090244367,2794.1558220762277,57117.83488716565
2047,8935322395.522696,14787.937824572356,10108.94341785325,25432.575567728443,4968.989454418387,2933776.54639494,12755.15130638018,3588.049898851058,2794.326172842656,58092.77243741509
2048,8950806910.609278,14873.400251883084,10212.886173545383,25910.02650843626,4968.989454418387,2990409.7163970456,12861.835804838971,3605.3665610410403,2792.458834175041,58757.76122245815
2049,8965381562.825077,15014.507916469056,10316.26597273092,26230.229010501585,4968.989454418387,3047922.8182073776,12969.41275673368,3628.512923996699,2788.557890135276,59318.550244255224
2050,8979098425.421179,15130.723318258777,10420.377623655806,26977.818716669677,4968.989454418387,3106350.8030325295,13077.889411050317,3648.3430617600125,2782.631866613757,60280.5409796164
