year,year,J-D
2024,2024,1.08495349281201
2025,2025,1.1110690802698415
2026,2026,1.1378132881365535
2027,2027,1.1652012477439257
2028,2028,1.1932484546454512
2029,2029,1.2219707773834037
2030,2030,1.2513844664669413
2031,2031,1.2815061635663136
2032,2032,1.3123529109283822
2033,2033,1.343942161018781
2034,2034,1.3762917863961652
2035,2035,1.4094200898241462
2036,2036,1.443345814626624
2037,2037,1.4780881552923801
2038,2038,1.5136667683349314
2039,2039,1.5501017834137885
2040,2040,1.5874138147234085
2041,2041,1.6256239726562909
2042,2042,1.6647538757468088
2043,2043,1.7048256629025398
2044,2044,1.745862005930011
2045,2045,1.7878861223619495
2046,2046,1.8309217885932918
2047,2047,1.8749933533333876
2048,2048,1.9201257513820063
2049,2049,1.9663445177369432
2050,2050,
