,index,year_range,population,gdp,cement_co2,co2,coal_co2,consumption_co2,flaring_co2,gas_co2,land_use_change_co2,methane,nitrous_oxide,oil_co2,other_industry_co2,total_ghg,trade_co2
0,49425,1880-1889,1427718912.0,,0.0,858.056,842.692,,,,3380.315,1544.155,247.687,15.363,0.0,6027.994,
1,49426,1880-1889,,,0.0,887.965,870.723,,,,3377.081,1561.758,250.419,17.242,0.0,6074.859,
2,49427,1880-1889,,,0.0,937.888,918.784,,,0.165,3556.636,1579.726,252.771,18.939,0.0,6324.752,
3,49428,1880-1889,,,0.0,997.515,980.632,,,0.381,3478.904,1599.365,254.818,16.501,0.0,6328.19,
4,49429,1880-1889,,,0.0,1009.43,989.935,,,1.172,3632.251,1611.34,256.638,18.322,0.0,6507.302,
5,49430,1880-1889,,,0.0,1017.145,994.47,,,3.715,3631.244,1623.186,258.307,18.959,0.0,6527.37,
6,49431,1880-1889,,,0.0,1032.614,1003.114,,,7.676,3545.342,1636.274,259.901,21.823,0.0,6471.709,
7,49432,1880-1889,,,0.001,1083.728,1048.458,,,11.787,3691.443,1654.783,261.496,23.481,0.0,6688.979,
8,49433,1880-1889,,,0.001,1200.802,1159.447,,,16.774,3566.419,1679.934,263.171,24.58,0.0,6707.763,
9,49434,1880-1889,,,0.001,1201.516,1160.882,,,12.227,3677.694,1692.225,265.001,28.407,0.0,6833.89,
10,49435,1890-1899,1548405760.0,,0.001,1306.591,1260.252,,,11.688,3950.333,1718.403,275.117,34.65,0.0,7247.878,
11,49436,1890-1899,,,0.001,1368.916,1319.136,,,8.947,4160.637,1737.434,278.27,40.831,0.0,7542.618,
12,49437,1890-1899,,,0.001,1379.809,1331.827,,,7.775,4101.83,1750.324,281.557,40.206,0.0,7510.894,
13,49438,1890-1899,,,0.001,1362.515,1312.68,,,7.288,4288.694,1757.734,284.935,42.546,0.0,7691.345,
14,49439,1890-1899,,,0.001,1411.533,1363.134,,,6.698,4304.165,1777.375,288.358,41.701,0.0,7778.906,
15,49440,1890-1899,,,0.001,1495.239,1439.658,,,7.042,4309.487,1800.435,291.784,48.538,0.0,7894.431,
16,49441,1890-1899,,,0.001,1544.661,1485.242,,,6.848,4244.625,1817.188,295.169,52.571,0.0,7899.119,
17,49442,1890-1899,,,0.001,1617.493,1554.674,,,7.288,4404.357,1838.661,298.467,55.53,0.0,8156.441,
18,49443,1890-1899,,,0.001,1705.961,1640.328,,,8.46,4356.936,1861.336,301.636,57.172,0.0,8223.39,
19,49444,1890-1899,,,0.001,1863.135,1792.199,,,10.904,4447.611,1892.892,304.63,60.031,0.0,8505.797,
20,49445,1900-1909,1670635648.0,3503708176384.0,0.001,1961.491,1882.64,,,11.542,4506.097,1919.434,307.407,67.308,0.0,8691.973,
21,49446,1900-1909,,,0.002,2023.964,1936.352,,,12.861,4532.762,1940.259,310.321,74.749,0.0,8804.86,
22,49447,1900-1909,,,0.002,2074.8,1980.295,,,13.696,4627.22,1957.981,313.687,80.807,0.0,8971.303,
23,49448,1900-1909,,,0.003,2262.046,2161.95,,,14.528,4596.937,1993.049,317.409,85.566,0.0,9167.074,
24,49449,1900-1909,,,0.003,2287.509,2174.427,,,15.165,4679.075,2008.741,321.386,96.08,1.834,9294.473,
